session,bbid,ward,alderperson,vote
2016-2017,162,11,Thomas A Villa,Aye
2016-2017,162,13,Beth Murphy,Aye
2016-2017,162,14,Carol Howard,Aye
2016-2017,162,17,Joseph D Roddy,Aye
2016-2017,162,18,Terry Kennedy,Aye
2016-2017,162,19,Marlene E Davis,Aye
2016-2017,162,20,Cara Spencer,Aye
2016-2017,162,21,Antonio D French,Aye
2016-2017,162,23,Joseph Vaccaro,Aye
2016-2017,162,24,Scott Ogilvie,Aye
2016-2017,162,25,Shane Cohn,Aye
2016-2017,162,26,Frank Williamson,Aye
2016-2017,162,President,Lewis E Reed,Aye
2016-2017,162,4,Samuel L Moore,Absent
2016-2017,162,5,Tammika Hubbard,Absent
2016-2017,162,9,Kenneth Ortmann,Absent
2016-2017,162,12,Larry Arnowitz,Absent
2016-2017,162,15,Megan E. Green,Absent
2016-2017,162,16,Donna Baringer,Absent
2016-2017,162,22,Jeffrey L Boyd,Absent
2016-2017,162,27,Chris Carter,Absent
2016-2017,162,28,Lyda Krewson,Absent
2016-2017,166,1,Sharon Tyus,Aye
2016-2017,166,2,Dionne Flowers,Aye
2016-2017,166,3,Freeman M Bosley Sr.,Aye
2016-2017,166,6,Christine Ingrassia,Aye
2016-2017,166,7,Jack Coatar,Aye
2016-2017,166,8,Stephen Conway,Aye
2016-2017,166,10,Joseph Vollmer,Aye
2016-2017,166,11,Thomas A Villa,Aye
2016-2017,166,13,Beth Murphy,Aye
2016-2017,166,14,Carol Howard,Aye
2016-2017,166,17,Joseph D Roddy,Aye
2016-2017,166,18,Terry Kennedy,Aye
2016-2017,166,19,Marlene E Davis,Aye
2016-2017,166,20,Cara Spencer,Aye
2016-2017,166,21,Antonio D French,Aye
2016-2017,166,23,Joseph Vaccaro,Aye
2016-2017,166,24,Scott Ogilvie,Aye
2016-2017,166,25,Shane Cohn,Aye
2016-2017,166,26,Frank Williamson,Aye
2016-2017,166,President,Lewis E Reed,Aye
2016-2017,166,4,Samuel L Moore,Absent
2016-2017,166,5,Tammika Hubbard,Absent
2016-2017,166,9,Kenneth Ortmann,Absent
2016-2017,166,12,Larry Arnowitz,Absent
2016-2017,166,15,Megan E. Green,Absent
2016-2017,166,16,Donna Baringer,Absent
2016-2017,166,22,Jeffrey L Boyd,Absent
2016-2017,166,27,Chris Carter,Absent
2016-2017,166,28,Lyda Krewson,Absent
2016-2017,167,1,Sharon Tyus,Aye
2016-2017,167,2,Dionne Flowers,Aye
2016-2017,167,3,Freeman M Bosley Sr.,Aye
2016-2017,167,6,Christine Ingrassia,Aye
2016-2017,167,7,Jack Coatar,Aye
2016-2017,167,8,Stephen Conway,Aye
2016-2017,167,10,Joseph Vollmer,Aye
2016-2017,167,11,Thomas A Villa,Aye
2016-2017,167,13,Beth Murphy,Aye
2016-2017,167,14,Carol Howard,Aye
2016-2017,167,17,Joseph D Roddy,Aye
2016-2017,167,18,Terry Kennedy,Aye
2016-2017,167,19,Marlene E Davis,Aye
2016-2017,167,20,Cara Spencer,Aye
2016-2017,167,21,Antonio D French,Aye
2016-2017,167,23,Joseph Vaccaro,Aye
2016-2017,167,24,Scott Ogilvie,Aye
2016-2017,167,25,Shane Cohn,Aye
2016-2017,167,26,Frank Williamson,Aye
2016-2017,167,President,Lewis E Reed,Aye
2016-2017,167,4,Samuel L Moore,Absent
2016-2017,167,5,Tammika Hubbard,Absent
2016-2017,167,9,Kenneth Ortmann,Absent
2016-2017,167,12,Larry Arnowitz,Absent
2016-2017,167,15,Megan E. Green,Absent
2016-2017,167,16,Donna Baringer,Absent
2016-2017,167,22,Jeffrey L Boyd,Absent
2016-2017,167,27,Chris Carter,Absent
2016-2017,167,28,Lyda Krewson,Absent
2016-2017,69,1,Sharon Tyus,Aye
2016-2017,69,2,Dionne Flowers,Aye
2016-2017,69,3,Freeman M Bosley Sr.,Aye
2016-2017,69,6,Christine Ingrassia,Aye
2016-2017,69,7,Jack Coatar,Aye
2016-2017,69,10,Joseph Vollmer,Aye
2016-2017,69,13,Beth Murphy,Aye
2016-2017,69,14,Carol Howard,Aye
2016-2017,69,17,Joseph D Roddy,Aye
2016-2017,69,18,Terry Kennedy,Aye
2016-2017,69,19,Marlene E Davis,Aye
2016-2017,69,20,Cara Spencer,Aye
2016-2017,69,21,Antonio D French,Aye
2016-2017,69,23,Joseph Vaccaro,Aye
2016-2017,69,24,Scott Ogilvie,Aye
2016-2017,69,25,Shane Cohn,Aye
2016-2017,69,26,Frank Williamson,Aye
2016-2017,69,President,Lewis E Reed,Aye
2016-2017,69,11,Thomas A Villa,No
2016-2017,69,4,Samuel L Moore,Absent
2016-2017,69,5,Tammika Hubbard,Absent
2016-2017,69,8,Stephen Conway,Absent
2016-2017,69,9,Kenneth Ortmann,Absent
2016-2017,69,12,Larry Arnowitz,Absent
2016-2017,69,15,Megan E. Green,Absent
2016-2017,69,16,Donna Baringer,Absent
2016-2017,69,22,Jeffrey L Boyd,Absent
2016-2017,69,27,Chris Carter,Absent
2016-2017,69,28,Lyda Krewson,Absent
2016-2017,70,1,Sharon Tyus,Aye
2016-2017,70,2,Dionne Flowers,Aye
2016-2017,70,3,Freeman M Bosley Sr.,Aye
2016-2017,70,6,Christine Ingrassia,Aye
2016-2017,70,7,Jack Coatar,Aye
2016-2017,70,10,Joseph Vollmer,Aye
2016-2017,70,11,Thomas A Villa,Aye
2016-2017,70,12,Larry Arnowitz,Aye
2016-2017,70,13,Beth Murphy,Aye
2016-2017,70,14,Carol Howard,Aye
2016-2017,70,17,Joseph D Roddy,Aye
2016-2017,70,18,Terry Kennedy,Aye
2016-2017,70,19,Marlene E Davis,Aye
2016-2017,70,20,Cara Spencer,Aye
2016-2017,70,21,Antonio D French,Aye
2016-2017,70,23,Joseph Vaccaro,Aye
2016-2017,70,24,Scott Ogilvie,Aye
2016-2017,70,25,Shane Cohn,Aye
2016-2017,70,26,Frank Williamson,Aye
2016-2017,70,President,Lewis E Reed,Aye
2016-2017,70,4,Samuel L Moore,Absent
2016-2017,70,5,Tammika Hubbard,Absent
2016-2017,70,8,Stephen Conway,Absent
2016-2017,70,9,Kenneth Ortmann,Absent
2016-2017,70,15,Megan E. Green,Absent
2016-2017,70,16,Donna Baringer,Absent
2016-2017,70,22,Jeffrey L Boyd,Absent
2016-2017,70,27,Chris Carter,Absent
2016-2017,70,28,Lyda Krewson,Absent
2016-2017,146,1,Sharon Tyus,Aye
2016-2017,146,2,Dionne Flowers,Aye
2016-2017,146,3,Freeman M Bosley Sr.,Aye
2016-2017,146,4,Samuel L Moore,Aye
2016-2017,146,6,Christine Ingrassia,Aye
2016-2017,146,7,Jack Coatar,Aye
2016-2017,146,8,Stephen Conway,Aye
2016-2017,146,9,Kenneth Ortmann,Aye
2016-2017,146,10,Joseph Vollmer,Aye
2016-2017,146,11,Thomas A Villa,Aye
2016-2017,146,13,Beth Murphy,Aye
2016-2017,146,14,Carol Howard,Aye
2016-2017,146,15,Megan E. Green,Aye
2016-2017,146,16,Donna Baringer,Aye
2016-2017,146,17,Joseph D Roddy,Aye
2016-2017,146,18,Terry Kennedy,Aye
2016-2017,146,19,Marlene E Davis,Aye
2016-2017,146,20,Cara Spencer,Aye
2016-2017,146,21,Antonio D French,Aye
2016-2017,146,22,Jeffrey L Boyd,Aye
2016-2017,146,23,Joseph Vaccaro,Aye
2016-2017,146,24,Scott Ogilvie,Aye
2016-2017,146,26,Frank Williamson,Aye
2016-2017,146,28,Lyda Krewson,Aye
2016-2017,146,President,Lewis E Reed,Aye
2016-2017,146,5,Tammika Hubbard,Absent
2016-2017,146,12,Larry Arnowitz,Absent
2016-2017,146,25,Shane Cohn,Absent
2016-2017,146,27,Chris Carter,Absent
2016-2017,151,1,Sharon Tyus,Aye
2016-2017,151,2,Dionne Flowers,Aye
2016-2017,151,3,Freeman M Bosley Sr.,Aye
2016-2017,151,4,Samuel L Moore,Aye
2016-2017,151,6,Christine Ingrassia,Aye
2016-2017,151,7,Jack Coatar,Aye
2016-2017,151,8,Stephen Conway,Aye
2016-2017,151,9,Kenneth Ortmann,Aye
2016-2017,151,10,Joseph Vollmer,Aye
2016-2017,151,11,Thomas A Villa,Aye
2016-2017,151,13,Beth Murphy,Aye
2016-2017,151,14,Carol Howard,Aye
2016-2017,151,15,Megan E. Green,Aye
2016-2017,151,16,Donna Baringer,Aye
2016-2017,151,17,Joseph D Roddy,Aye
2016-2017,151,18,Terry Kennedy,Aye
2016-2017,151,19,Marlene E Davis,Aye
2016-2017,151,20,Cara Spencer,Aye
2016-2017,151,21,Antonio D French,Aye
2016-2017,151,22,Jeffrey L Boyd,Aye
2016-2017,151,23,Joseph Vaccaro,Aye
2016-2017,151,24,Scott Ogilvie,Aye
2016-2017,151,26,Frank Williamson,Aye
2016-2017,151,28,Lyda Krewson,Aye
2016-2017,151,President,Lewis E Reed,Aye
2016-2017,151,5,Tammika Hubbard,Absent
2016-2017,151,12,Larry Arnowitz,Absent
2016-2017,151,25,Shane Cohn,Absent
2016-2017,151,27,Chris Carter,Absent
2016-2017,107,2,Dionne Flowers,Aye
2016-2017,107,3,Freeman M Bosley Sr.,Aye
2016-2017,107,4,Samuel L Moore,Aye
2016-2017,107,5,Tammika Hubbard,Aye
2016-2017,107,6,Christine Ingrassia,Aye
2016-2017,107,7,Jack Coatar,Aye
2016-2017,107,9,Kenneth Ortmann,Aye
2016-2017,107,10,Joseph Vollmer,Aye
2016-2017,107,11,Thomas A Villa,Aye
2016-2017,107,12,Larry Arnowitz,Aye
2016-2017,107,13,Beth Murphy,Aye
2016-2017,107,14,Carol Howard,Aye
2016-2017,107,15,Megan E. Green,Aye
2016-2017,107,16,Donna Baringer,Aye
2016-2017,107,17,Joseph D Roddy,Aye
2016-2017,107,18,Terry Kennedy,Aye
2016-2017,107,19,Marlene E Davis,Aye
2016-2017,107,20,Cara Spencer,Aye
2016-2017,107,22,Jeffrey L Boyd,Aye
2016-2017,107,23,Joseph Vaccaro,Aye
2016-2017,107,24,Scott Ogilvie,Aye
2016-2017,107,26,Frank Williamson,Aye
2016-2017,107,27,Chris Carter,Aye
2016-2017,107,28,Lyda Krewson,Aye
2016-2017,107,President,Lewis E Reed,Aye
2016-2017,107,25,Shane Cohn,No
2016-2017,107,1,Sharon Tyus,Present
2016-2017,107,8,Stephen Conway,Absent
2016-2017,107,21,Antonio D French,Absent
2016-2017,149,2,Dionne Flowers,Aye
2016-2017,149,3,Freeman M Bosley Sr.,Aye
2016-2017,149,4,Samuel L Moore,Aye
2016-2017,149,5,Tammika Hubbard,Aye
2016-2017,149,7,Jack Coatar,Aye
2016-2017,149,9,Kenneth Ortmann,Aye
2016-2017,149,10,Joseph Vollmer,Aye
2016-2017,149,12,Larry Arnowitz,Aye
2016-2017,149,13,Beth Murphy,Aye
2016-2017,149,14,Carol Howard,Aye
2016-2017,149,16,Donna Baringer,Aye
2016-2017,149,17,Joseph D Roddy,Aye
2016-2017,149,18,Terry Kennedy,Aye
2016-2017,149,19,Marlene E Davis,Aye
2016-2017,149,22,Jeffrey L Boyd,Aye
2016-2017,149,25,Shane Cohn,Aye
2016-2017,149,26,Frank Williamson,Aye
2016-2017,149,27,Chris Carter,Aye
2016-2017,149,28,Lyda Krewson,Aye
2016-2017,149,President,Lewis E Reed,Aye
2016-2017,149,1,Sharon Tyus,No
2016-2017,149,6,Christine Ingrassia,No
2016-2017,149,11,Thomas A Villa,No
2016-2017,149,15,Megan E. Green,No
2016-2017,149,20,Cara Spencer,No
2016-2017,149,23,Joseph Vaccaro,No
2016-2017,149,24,Scott Ogilvie,No
2016-2017,149,8,Stephen Conway,Absent
2016-2017,149,21,Antonio D French,Absent
2016-2017,150,1,Sharon Tyus,Aye
2016-2017,150,2,Dionne Flowers,Aye
2016-2017,150,3,Freeman M Bosley Sr.,Aye
2016-2017,150,4,Samuel L Moore,Aye
2016-2017,150,5,Tammika Hubbard,Aye
2016-2017,150,7,Jack Coatar,Aye
2016-2017,150,9,Kenneth Ortmann,Aye
2016-2017,150,10,Joseph Vollmer,Aye
2016-2017,150,11,Thomas A Villa,Aye
2016-2017,150,12,Larry Arnowitz,Aye
2016-2017,150,13,Beth Murphy,Aye
2016-2017,150,14,Carol Howard,Aye
2016-2017,150,15,Megan E. Green,Aye
2016-2017,150,16,Donna Baringer,Aye
2016-2017,150,17,Joseph D Roddy,Aye
2016-2017,150,18,Terry Kennedy,Aye
2016-2017,150,19,Marlene E Davis,Aye
2016-2017,150,22,Jeffrey L Boyd,Aye
2016-2017,150,23,Joseph Vaccaro,Aye
2016-2017,150,25,Shane Cohn,Aye
2016-2017,150,26,Frank Williamson,Aye
2016-2017,150,27,Chris Carter,Aye
2016-2017,150,28,Lyda Krewson,Aye
2016-2017,150,President,Lewis E Reed,Aye
2016-2017,150,6,Christine Ingrassia,No
2016-2017,150,20,Cara Spencer,No
2016-2017,150,24,Scott Ogilvie,No
2016-2017,150,8,Stephen Conway,Absent
2016-2017,150,21,Antonio D French,Absent
2016-2017,110,1,Sharon Tyus,Aye
2016-2017,110,2,Dionne Flowers,Aye
2016-2017,110,3,Freeman M Bosley Sr.,Aye
2016-2017,110,4,Samuel L Moore,Aye
2016-2017,110,5,Tammika Hubbard,Aye
2016-2017,110,6,Christine Ingrassia,Aye
2016-2017,110,7,Jack Coatar,Aye
2016-2017,110,9,Kenneth Ortmann,Aye
2016-2017,110,10,Joseph Vollmer,Aye
2016-2017,110,11,Thomas A Villa,Aye
2016-2017,110,12,Larry Arnowitz,Aye
2016-2017,110,13,Beth Murphy,Aye
2016-2017,110,14,Carol Howard,Aye
2016-2017,110,15,Megan E. Green,Aye
2016-2017,110,16,Donna Baringer,Aye
2016-2017,110,17,Joseph D Roddy,Aye
2016-2017,110,18,Terry Kennedy,Aye
2016-2017,110,19,Marlene E Davis,Aye
2016-2017,110,20,Cara Spencer,Aye
2016-2017,110,22,Jeffrey L Boyd,Aye
2016-2017,110,23,Joseph Vaccaro,Aye
2016-2017,110,24,Scott Ogilvie,Aye
2016-2017,110,25,Shane Cohn,Aye
2016-2017,110,26,Frank Williamson,Aye
2016-2017,110,27,Chris Carter,Aye
2016-2017,110,28,Lyda Krewson,Aye
2016-2017,110,President,Lewis E Reed,Aye
2016-2017,110,8,Stephen Conway,Absent
2016-2017,110,21,Antonio D French,Absent
2016-2017,119,1,Sharon Tyus,Aye
2016-2017,119,2,Dionne Flowers,Aye
2016-2017,119,3,Freeman M Bosley Sr.,Aye
2016-2017,119,4,Samuel L Moore,Aye
2016-2017,119,5,Tammika Hubbard,Aye
2016-2017,119,6,Christine Ingrassia,Aye
2016-2017,119,7,Jack Coatar,Aye
2016-2017,119,9,Kenneth Ortmann,Aye
2016-2017,119,10,Joseph Vollmer,Aye
2016-2017,119,11,Thomas A Villa,Aye
2016-2017,119,12,Larry Arnowitz,Aye
2016-2017,119,13,Beth Murphy,Aye
2016-2017,119,14,Carol Howard,Aye
2016-2017,119,15,Megan E. Green,Aye
2016-2017,119,16,Donna Baringer,Aye
2016-2017,119,17,Joseph D Roddy,Aye
2016-2017,119,18,Terry Kennedy,Aye
2016-2017,119,19,Marlene E Davis,Aye
2016-2017,119,20,Cara Spencer,Aye
2016-2017,119,22,Jeffrey L Boyd,Aye
2016-2017,119,23,Joseph Vaccaro,Aye
2016-2017,119,24,Scott Ogilvie,Aye
2016-2017,119,25,Shane Cohn,Aye
2016-2017,119,26,Frank Williamson,Aye
2016-2017,119,27,Chris Carter,Aye
2016-2017,119,28,Lyda Krewson,Aye
2016-2017,119,President,Lewis E Reed,Aye
2016-2017,119,8,Stephen Conway,Absent
2016-2017,119,21,Antonio D French,Absent
2016-2017,125,1,Sharon Tyus,Aye
2016-2017,125,2,Dionne Flowers,Aye
2016-2017,125,3,Freeman M Bosley Sr.,Aye
2016-2017,125,4,Samuel L Moore,Aye
2016-2017,125,5,Tammika Hubbard,Aye
2016-2017,125,6,Christine Ingrassia,Aye
2016-2017,125,7,Jack Coatar,Aye
2016-2017,125,9,Kenneth Ortmann,Aye
2016-2017,125,10,Joseph Vollmer,Aye
2016-2017,125,11,Thomas A Villa,Aye
2016-2017,125,12,Larry Arnowitz,Aye
2016-2017,125,13,Beth Murphy,Aye
2016-2017,125,14,Carol Howard,Aye
2016-2017,125,15,Megan E. Green,Aye
2016-2017,125,16,Donna Baringer,Aye
2016-2017,125,17,Joseph D Roddy,Aye
2016-2017,125,18,Terry Kennedy,Aye
2016-2017,125,19,Marlene E Davis,Aye
2016-2017,125,20,Cara Spencer,Aye
2016-2017,125,22,Jeffrey L Boyd,Aye
2016-2017,125,23,Joseph Vaccaro,Aye
2016-2017,125,24,Scott Ogilvie,Aye
2016-2017,125,25,Shane Cohn,Aye
2016-2017,125,26,Frank Williamson,Aye
2016-2017,125,27,Chris Carter,Aye
2016-2017,125,28,Lyda Krewson,Aye
2016-2017,125,President,Lewis E Reed,Aye
2016-2017,125,8,Stephen Conway,Absent
2016-2017,125,21,Antonio D French,Absent
2016-2017,137,1,Sharon Tyus,Aye
2016-2017,137,2,Dionne Flowers,Aye
2016-2017,137,3,Freeman M Bosley Sr.,Aye
2016-2017,137,4,Samuel L Moore,Aye
2016-2017,137,5,Tammika Hubbard,Aye
2016-2017,137,6,Christine Ingrassia,Aye
2016-2017,137,7,Jack Coatar,Aye
2016-2017,137,9,Kenneth Ortmann,Aye
2016-2017,137,10,Joseph Vollmer,Aye
2016-2017,137,11,Thomas A Villa,Aye
2016-2017,137,12,Larry Arnowitz,Aye
2016-2017,137,13,Beth Murphy,Aye
2016-2017,137,14,Carol Howard,Aye
2016-2017,137,15,Megan E. Green,Aye
2016-2017,137,16,Donna Baringer,Aye
2016-2017,137,17,Joseph D Roddy,Aye
2016-2017,137,18,Terry Kennedy,Aye
2016-2017,137,19,Marlene E Davis,Aye
2016-2017,137,20,Cara Spencer,Aye
2016-2017,137,22,Jeffrey L Boyd,Aye
2016-2017,137,23,Joseph Vaccaro,Aye
2016-2017,137,24,Scott Ogilvie,Aye
2016-2017,137,25,Shane Cohn,Aye
2016-2017,137,26,Frank Williamson,Aye
2016-2017,137,27,Chris Carter,Aye
2016-2017,137,28,Lyda Krewson,Aye
2016-2017,137,President,Lewis E Reed,Aye
2016-2017,137,8,Stephen Conway,Absent
2016-2017,137,21,Antonio D French,Absent
2016-2017,104,1,Sharon Tyus,Aye
2016-2017,104,2,Dionne Flowers,Aye
2016-2017,104,3,Freeman M Bosley Sr.,Aye
2016-2017,104,4,Samuel L Moore,Aye
2016-2017,104,5,Tammika Hubbard,Aye
2016-2017,104,6,Christine Ingrassia,Aye
2016-2017,104,7,Jack Coatar,Aye
2016-2017,104,8,Stephen Conway,Aye
2016-2017,104,9,Kenneth Ortmann,Aye
2016-2017,104,10,Joseph Vollmer,Aye
2016-2017,104,11,Thomas A Villa,Aye
2016-2017,104,12,Larry Arnowitz,Aye
2016-2017,104,13,Beth Murphy,Aye
2016-2017,104,14,Carol Howard,Aye
2016-2017,104,15,Megan E. Green,Aye
2016-2017,104,16,Donna Baringer,Aye
2016-2017,104,17,Joseph D Roddy,Aye
2016-2017,104,18,Terry Kennedy,Aye
2016-2017,104,19,Marlene E Davis,Aye
2016-2017,104,20,Cara Spencer,Aye
2016-2017,104,21,Antonio D French,Aye
2016-2017,104,24,Scott Ogilvie,Aye
2016-2017,104,25,Shane Cohn,Aye
2016-2017,104,26,Frank Williamson,Aye
2016-2017,104,27,Chris Carter,Aye
2016-2017,104,28,Lyda Krewson,Aye
2016-2017,104,President,Lewis E Reed,Aye
2016-2017,104,23,Joseph Vaccaro,No
2016-2017,104,22,Jeffrey L Boyd,Absent
2016-2017,108,1,Sharon Tyus,Aye
2016-2017,108,2,Dionne Flowers,Aye
2016-2017,108,3,Freeman M Bosley Sr.,Aye
2016-2017,108,4,Samuel L Moore,Aye
2016-2017,108,5,Tammika Hubbard,Aye
2016-2017,108,6,Christine Ingrassia,Aye
2016-2017,108,7,Jack Coatar,Aye
2016-2017,108,8,Stephen Conway,Aye
2016-2017,108,9,Kenneth Ortmann,Aye
2016-2017,108,10,Joseph Vollmer,Aye
2016-2017,108,11,Thomas A Villa,Aye
2016-2017,108,12,Larry Arnowitz,Aye
2016-2017,108,13,Beth Murphy,Aye
2016-2017,108,14,Carol Howard,Aye
2016-2017,108,15,Megan E. Green,Aye
2016-2017,108,16,Donna Baringer,Aye
2016-2017,108,17,Joseph D Roddy,Aye
2016-2017,108,18,Terry Kennedy,Aye
2016-2017,108,19,Marlene E Davis,Aye
2016-2017,108,20,Cara Spencer,Aye
2016-2017,108,21,Antonio D French,Aye
2016-2017,108,24,Scott Ogilvie,Aye
2016-2017,108,25,Shane Cohn,Aye
2016-2017,108,26,Frank Williamson,Aye
2016-2017,108,27,Chris Carter,Aye
2016-2017,108,28,Lyda Krewson,Aye
2016-2017,108,President,Lewis E Reed,Aye
2016-2017,108,23,Joseph Vaccaro,No
2016-2017,108,22,Jeffrey L Boyd,Absent
2016-2017,112,1,Sharon Tyus,Aye
2016-2017,112,2,Dionne Flowers,Aye
2016-2017,112,3,Freeman M Bosley Sr.,Aye
2016-2017,112,4,Samuel L Moore,Aye
2016-2017,112,5,Tammika Hubbard,Aye
2016-2017,112,6,Christine Ingrassia,Aye
2016-2017,112,7,Jack Coatar,Aye
2016-2017,112,8,Stephen Conway,Aye
2016-2017,112,9,Kenneth Ortmann,Aye
2016-2017,112,10,Joseph Vollmer,Aye
2016-2017,112,11,Thomas A Villa,Aye
2016-2017,112,12,Larry Arnowitz,Aye
2016-2017,112,13,Beth Murphy,Aye
2016-2017,112,14,Carol Howard,Aye
2016-2017,112,15,Megan E. Green,Aye
2016-2017,112,16,Donna Baringer,Aye
2016-2017,112,17,Joseph D Roddy,Aye
2016-2017,112,18,Terry Kennedy,Aye
2016-2017,112,19,Marlene E Davis,Aye
2016-2017,112,20,Cara Spencer,Aye
2016-2017,112,21,Antonio D French,Aye
2016-2017,112,24,Scott Ogilvie,Aye
2016-2017,112,25,Shane Cohn,Aye
2016-2017,112,26,Frank Williamson,Aye
2016-2017,112,27,Chris Carter,Aye
2016-2017,112,28,Lyda Krewson,Aye
2016-2017,112,President,Lewis E Reed,Aye
2016-2017,112,23,Joseph Vaccaro,No
2016-2017,112,22,Jeffrey L Boyd,Absent
2016-2017,113,1,Sharon Tyus,Aye
2016-2017,113,2,Dionne Flowers,Aye
2016-2017,113,3,Freeman M Bosley Sr.,Aye
2016-2017,113,4,Samuel L Moore,Aye
2016-2017,113,5,Tammika Hubbard,Aye
2016-2017,113,6,Christine Ingrassia,Aye
2016-2017,113,7,Jack Coatar,Aye
2016-2017,113,8,Stephen Conway,Aye
2016-2017,113,9,Kenneth Ortmann,Aye
2016-2017,113,10,Joseph Vollmer,Aye
2016-2017,113,11,Thomas A Villa,Aye
2016-2017,113,12,Larry Arnowitz,Aye
2016-2017,113,13,Beth Murphy,Aye
2016-2017,113,14,Carol Howard,Aye
2016-2017,113,15,Megan E. Green,Aye
2016-2017,113,16,Donna Baringer,Aye
2016-2017,113,17,Joseph D Roddy,Aye
2016-2017,113,18,Terry Kennedy,Aye
2016-2017,113,19,Marlene E Davis,Aye
2016-2017,113,20,Cara Spencer,Aye
2016-2017,113,21,Antonio D French,Aye
2016-2017,113,24,Scott Ogilvie,Aye
2016-2017,113,25,Shane Cohn,Aye
2016-2017,113,26,Frank Williamson,Aye
2016-2017,113,27,Chris Carter,Aye
2016-2017,113,28,Lyda Krewson,Aye
2016-2017,113,President,Lewis E Reed,Aye
2016-2017,113,23,Joseph Vaccaro,No
2016-2017,113,22,Jeffrey L Boyd,Absent
2016-2017,114,1,Sharon Tyus,Aye
2016-2017,114,2,Dionne Flowers,Aye
2016-2017,114,3,Freeman M Bosley Sr.,Aye
2016-2017,114,4,Samuel L Moore,Aye
2016-2017,114,5,Tammika Hubbard,Aye
2016-2017,114,6,Christine Ingrassia,Aye
2016-2017,114,7,Jack Coatar,Aye
2016-2017,114,8,Stephen Conway,Aye
2016-2017,114,9,Kenneth Ortmann,Aye
2016-2017,114,10,Joseph Vollmer,Aye
2016-2017,114,11,Thomas A Villa,Aye
2016-2017,114,12,Larry Arnowitz,Aye
2016-2017,114,13,Beth Murphy,Aye
2016-2017,114,14,Carol Howard,Aye
2016-2017,114,15,Megan E. Green,Aye
2016-2017,114,16,Donna Baringer,Aye
2016-2017,114,17,Joseph D Roddy,Aye
2016-2017,114,18,Terry Kennedy,Aye
2016-2017,114,19,Marlene E Davis,Aye
2016-2017,114,20,Cara Spencer,Aye
2016-2017,114,21,Antonio D French,Aye
2016-2017,114,24,Scott Ogilvie,Aye
2016-2017,114,25,Shane Cohn,Aye
2016-2017,114,26,Frank Williamson,Aye
2016-2017,114,27,Chris Carter,Aye
2016-2017,114,28,Lyda Krewson,Aye
2016-2017,114,President,Lewis E Reed,Aye
2016-2017,114,23,Joseph Vaccaro,No
2016-2017,114,22,Jeffrey L Boyd,Absent
2016-2017,115,1,Sharon Tyus,Aye
2016-2017,115,2,Dionne Flowers,Aye
2016-2017,115,3,Freeman M Bosley Sr.,Aye
2016-2017,115,4,Samuel L Moore,Aye
2016-2017,115,5,Tammika Hubbard,Aye
2016-2017,115,6,Christine Ingrassia,Aye
2016-2017,115,7,Jack Coatar,Aye
2016-2017,115,8,Stephen Conway,Aye
2016-2017,115,9,Kenneth Ortmann,Aye
2016-2017,115,10,Joseph Vollmer,Aye
2016-2017,115,11,Thomas A Villa,Aye
2016-2017,115,12,Larry Arnowitz,Aye
2016-2017,115,13,Beth Murphy,Aye
2016-2017,115,14,Carol Howard,Aye
2016-2017,115,15,Megan E. Green,Aye
2016-2017,115,16,Donna Baringer,Aye
2016-2017,115,17,Joseph D Roddy,Aye
2016-2017,115,18,Terry Kennedy,Aye
2016-2017,115,19,Marlene E Davis,Aye
2016-2017,115,20,Cara Spencer,Aye
2016-2017,115,21,Antonio D French,Aye
2016-2017,115,24,Scott Ogilvie,Aye
2016-2017,115,25,Shane Cohn,Aye
2016-2017,115,26,Frank Williamson,Aye
2016-2017,115,27,Chris Carter,Aye
2016-2017,115,28,Lyda Krewson,Aye
2016-2017,115,President,Lewis E Reed,Aye
2016-2017,115,23,Joseph Vaccaro,No
2016-2017,115,22,Jeffrey L Boyd,Absent
2016-2017,116,1,Sharon Tyus,Aye
2016-2017,116,2,Dionne Flowers,Aye
2016-2017,116,3,Freeman M Bosley Sr.,Aye
2016-2017,116,4,Samuel L Moore,Aye
2016-2017,116,5,Tammika Hubbard,Aye
2016-2017,116,6,Christine Ingrassia,Aye
2016-2017,116,7,Jack Coatar,Aye
2016-2017,116,8,Stephen Conway,Aye
2016-2017,116,9,Kenneth Ortmann,Aye
2016-2017,116,10,Joseph Vollmer,Aye
2016-2017,116,11,Thomas A Villa,Aye
2016-2017,116,12,Larry Arnowitz,Aye
2016-2017,116,13,Beth Murphy,Aye
2016-2017,116,14,Carol Howard,Aye
2016-2017,116,15,Megan E. Green,Aye
2016-2017,116,16,Donna Baringer,Aye
2016-2017,116,17,Joseph D Roddy,Aye
2016-2017,116,18,Terry Kennedy,Aye
2016-2017,116,19,Marlene E Davis,Aye
2016-2017,116,20,Cara Spencer,Aye
2016-2017,116,21,Antonio D French,Aye
2016-2017,116,24,Scott Ogilvie,Aye
2016-2017,116,25,Shane Cohn,Aye
2016-2017,116,26,Frank Williamson,Aye
2016-2017,116,27,Chris Carter,Aye
2016-2017,116,28,Lyda Krewson,Aye
2016-2017,116,President,Lewis E Reed,Aye
2016-2017,116,23,Joseph Vaccaro,No
2016-2017,116,22,Jeffrey L Boyd,Absent
2016-2017,117,1,Sharon Tyus,Aye
2016-2017,117,2,Dionne Flowers,Aye
2016-2017,117,3,Freeman M Bosley Sr.,Aye
2016-2017,117,4,Samuel L Moore,Aye
