bbid,date of vote,ward,alderperson,vote
164,11/03/2017,28,Heather Navarro,Aye
164,11/03/2017,President,Lewis E Reed,Aye
164,11/03/2017,1,Sharon Tyus,Absent
164,11/03/2017,3,Brandon Bosley,Absent
164,11/03/2017,4,Samuel L Moore,Absent
164,11/03/2017,12,Larry Arnowitz,Absent
164,11/03/2017,23,Joseph Vaccaro,Absent
164,11/03/2017,2,Seat is vacant,Vacant Seat
165,11/03/2017,5,Tammika Hubbard,Aye
165,11/03/2017,6,Christine Ingrassia,Aye
165,11/03/2017,7,Jack Coatar,Aye
165,11/03/2017,8,Stephen Conway,Aye
165,11/03/2017,9,Dan Guenther,Aye
165,11/03/2017,10,Joseph Vollmer,Aye
165,11/03/2017,11,Sarah Martin,Aye
165,11/03/2017,13,Beth Murphy,Aye
165,11/03/2017,14,Carol Howard,Aye
165,11/03/2017,15,Megan E. Green,Aye
165,11/03/2017,16,Tom Oldenburg,Aye
165,11/03/2017,17,Joseph D Roddy,Aye
165,11/03/2017,18,Terry Kennedy,Aye
165,11/03/2017,19,Marlene E Davis,Aye
165,11/03/2017,20,Cara Spencer,Aye
165,11/03/2017,21,John Collins-Muhammad,Aye
165,11/03/2017,22,Jeffrey L Boyd,Aye
165,11/03/2017,24,Scott Ogilvie,Aye
165,11/03/2017,25,Shane Cohn,Aye
165,11/03/2017,26,Frank Williamson,Aye
165,11/03/2017,27,Pam Boyd,Aye
165,11/03/2017,28,Heather Navarro,Aye
165,11/03/2017,President,Lewis E Reed,Aye
165,11/03/2017,1,Sharon Tyus,Absent
165,11/03/2017,3,Brandon Bosley,Absent
165,11/03/2017,4,Samuel L Moore,Absent
165,11/03/2017,12,Larry Arnowitz,Absent
165,11/03/2017,23,Joseph Vaccaro,Absent
165,11/03/2017,2,Seat is vacant,Vacant Seat
166,11/03/2017,5,Tammika Hubbard,Aye
166,11/03/2017,6,Christine Ingrassia,Aye
166,11/03/2017,7,Jack Coatar,Aye
166,11/03/2017,8,Stephen Conway,Aye
166,11/03/2017,9,Dan Guenther,Aye
166,11/03/2017,10,Joseph Vollmer,Aye
166,11/03/2017,11,Sarah Martin,Aye
166,11/03/2017,13,Beth Murphy,Aye
166,11/03/2017,14,Carol Howard,Aye
166,11/03/2017,15,Megan E. Green,Aye
166,11/03/2017,16,Tom Oldenburg,Aye
166,11/03/2017,17,Joseph D Roddy,Aye
166,11/03/2017,18,Terry Kennedy,Aye
166,11/03/2017,19,Marlene E Davis,Aye
166,11/03/2017,20,Cara Spencer,Aye
166,11/03/2017,21,John Collins-Muhammad,Aye
166,11/03/2017,22,Jeffrey L Boyd,Aye
166,11/03/2017,24,Scott Ogilvie,Aye
166,11/03/2017,25,Shane Cohn,Aye
166,11/03/2017,26,Frank Williamson,Aye
166,11/03/2017,27,Pam Boyd,Aye
166,11/03/2017,28,Heather Navarro,Aye
166,11/03/2017,President,Lewis E Reed,Aye
166,11/03/2017,1,Sharon Tyus,Absent
166,11/03/2017,3,Brandon Bosley,Absent
166,11/03/2017,4,Samuel L Moore,Absent
166,11/03/2017,12,Larry Arnowitz,Absent
166,11/03/2017,23,Joseph Vaccaro,Absent
166,11/03/2017,2,Seat is vacant,Vacant Seat
173,11/03/2017,5,Tammika Hubbard,Aye
173,11/03/2017,6,Christine Ingrassia,Aye
173,11/03/2017,7,Jack Coatar,Aye
173,11/03/2017,8,Stephen Conway,Aye
173,11/03/2017,9,Dan Guenther,Aye
173,11/03/2017,10,Joseph Vollmer,Aye
173,11/03/2017,11,Sarah Martin,Aye
173,11/03/2017,13,Beth Murphy,Aye
173,11/03/2017,14,Carol Howard,Aye
173,11/03/2017,15,Megan E. Green,Aye
173,11/03/2017,16,Tom Oldenburg,Aye
173,11/03/2017,17,Joseph D Roddy,Aye
173,11/03/2017,18,Terry Kennedy,Aye
173,11/03/2017,19,Marlene E Davis,Aye
173,11/03/2017,20,Cara Spencer,Aye
173,11/03/2017,21,John Collins-Muhammad,Aye
173,11/03/2017,22,Jeffrey L Boyd,Aye
173,11/03/2017,24,Scott Ogilvie,Aye
173,11/03/2017,25,Shane Cohn,Aye
173,11/03/2017,26,Frank Williamson,Aye
173,11/03/2017,27,Pam Boyd,Aye
173,11/03/2017,28,Heather Navarro,Aye
173,11/03/2017,President,Lewis E Reed,Aye
173,11/03/2017,1,Sharon Tyus,Absent
173,11/03/2017,3,Brandon Bosley,Absent
173,11/03/2017,4,Samuel L Moore,Absent
173,11/03/2017,12,Larry Arnowitz,Absent
173,11/03/2017,23,Joseph Vaccaro,Absent
173,11/03/2017,2,Seat is vacant,Vacant Seat
123,11/03/2017,5,Tammika Hubbard,Aye
123,11/03/2017,6,Christine Ingrassia,Aye
123,11/03/2017,7,Jack Coatar,Aye
123,11/03/2017,8,Stephen Conway,Aye
123,11/03/2017,9,Dan Guenther,Aye
123,11/03/2017,10,Joseph Vollmer,Aye
123,11/03/2017,11,Sarah Martin,Aye
123,11/03/2017,13,Beth Murphy,Aye
123,11/03/2017,14,Carol Howard,Aye
123,11/03/2017,15,Megan E. Green,Aye
123,11/03/2017,16,Tom Oldenburg,Aye
123,11/03/2017,17,Joseph D Roddy,Aye
123,11/03/2017,18,Terry Kennedy,Aye
123,11/03/2017,19,Marlene E Davis,Aye
123,11/03/2017,20,Cara Spencer,Aye
123,11/03/2017,22,Jeffrey L Boyd,Aye
123,11/03/2017,24,Scott Ogilvie,Aye
123,11/03/2017,25,Shane Cohn,Aye
123,11/03/2017,26,Frank Williamson,Aye
123,11/03/2017,27,Pam Boyd,Aye
123,11/03/2017,28,Heather Navarro,Aye
123,11/03/2017,President,Lewis E Reed,Aye
123,11/03/2017,1,Sharon Tyus,Present
123,11/03/2017,3,Brandon Bosley,Absent
123,11/03/2017,4,Samuel L Moore,Absent
123,11/03/2017,12,Larry Arnowitz,Absent
123,11/03/2017,21,John Collins-Muhammad,Absent
123,11/03/2017,23,Joseph Vaccaro,Absent
123,11/03/2017,2,Seat is vacant,Vacant Seat
121,10/27/2017,1,Sharon Tyus,Aye
121,10/27/2017,3,Brandon Bosley,Aye
121,10/27/2017,4,Samuel L Moore,Aye
121,10/27/2017,5,Tammika Hubbard,Aye
121,10/27/2017,6,Christine Ingrassia,Aye
121,10/27/2017,7,Jack Coatar,Aye
121,10/27/2017,8,Stephen Conway,Aye
121,10/27/2017,9,Dan Guenther,Aye
121,10/27/2017,10,Joseph Vollmer,Aye
121,10/27/2017,11,Sarah Martin,Aye
121,10/27/2017,12,Larry Arnowitz,Aye
121,10/27/2017,13,Beth Murphy,Aye
121,10/27/2017,14,Carol Howard,Aye
121,10/27/2017,15,Megan E. Green,Aye
121,10/27/2017,16,Tom Oldenburg,Aye
121,10/27/2017,17,Joseph D Roddy,Aye
121,10/27/2017,18,Terry Kennedy,Aye
121,10/27/2017,19,Marlene E Davis,Aye
121,10/27/2017,20,Cara Spencer,Aye
121,10/27/2017,21,John Collins-Muhammad,Aye
121,10/27/2017,22,Jeffrey L Boyd,Aye
121,10/27/2017,23,Joseph Vaccaro,Aye
121,10/27/2017,24,Scott Ogilvie,Aye
121,10/27/2017,25,Shane Cohn,Aye
121,10/27/2017,26,Frank Williamson,Aye
121,10/27/2017,27,Pam Boyd,Aye
121,10/27/2017,President,Lewis E Reed,Aye
121,10/27/2017,28,Heather Navarro,Absent
121,10/27/2017,2,Seat is vacant,Vacant Seat
76,10/20/2017,1,Sharon Tyus,Aye
76,10/20/2017,3,Brandon Bosley,Aye
76,10/20/2017,4,Samuel L Moore,Aye
76,10/20/2017,6,Christine Ingrassia,Aye
76,10/20/2017,8,Stephen Conway,Aye
76,10/20/2017,9,Dan Guenther,Aye
76,10/20/2017,10,Joseph Vollmer,Aye
76,10/20/2017,11,Sarah Martin,Aye
76,10/20/2017,12,Larry Arnowitz,Aye
76,10/20/2017,13,Beth Murphy,Aye
76,10/20/2017,18,Terry Kennedy,Aye
76,10/20/2017,19,Marlene E Davis,Aye
76,10/20/2017,20,Cara Spencer,Aye
76,10/20/2017,21,John Collins-Muhammad,Aye
76,10/20/2017,22,Jeffrey L Boyd,Aye
76,10/20/2017,23,Joseph Vaccaro,Aye
76,10/20/2017,24,Scott Ogilvie,Aye
76,10/20/2017,25,Shane Cohn,Aye
76,10/20/2017,26,Frank Williamson,Aye
76,10/20/2017,28,Heather Navarro,Aye
76,10/20/2017,President,Lewis E Reed,Aye
76,10/20/2017,2,Dionne Flowers,Absent
76,10/20/2017,5,Tammika Hubbard,Absent
76,10/20/2017,7,Jack Coatar,Absent
76,10/20/2017,14,Carol Howard,Absent
76,10/20/2017,15,Megan E. Green,Absent
76,10/20/2017,16,Tom Oldenburg,Absent
76,10/20/2017,17,Joseph D Roddy,Absent
76,10/20/2017,27,Pam Boyd,Absent
77,10/20/2017,1,Sharon Tyus,Aye
77,10/20/2017,3,Brandon Bosley,Aye
77,10/20/2017,4,Samuel L Moore,Aye
77,10/20/2017,6,Christine Ingrassia,Aye
77,10/20/2017,8,Stephen Conway,Aye
77,10/20/2017,9,Dan Guenther,Aye
77,10/20/2017,10,Joseph Vollmer,Aye
77,10/20/2017,11,Sarah Martin,Aye
77,10/20/2017,12,Larry Arnowitz,Aye
77,10/20/2017,13,Beth Murphy,Aye
77,10/20/2017,18,Terry Kennedy,Aye
77,10/20/2017,19,Marlene E Davis,Aye
77,10/20/2017,20,Cara Spencer,Aye
77,10/20/2017,21,John Collins-Muhammad,Aye
77,10/20/2017,22,Jeffrey L Boyd,Aye
77,10/20/2017,23,Joseph Vaccaro,Aye
77,10/20/2017,24,Scott Ogilvie,Aye
77,10/20/2017,25,Shane Cohn,Aye
77,10/20/2017,26,Frank Williamson,Aye
77,10/20/2017,28,Heather Navarro,Aye
77,10/20/2017,President,Lewis E Reed,Aye
77,10/20/2017,2,Dionne Flowers,Absent
77,10/20/2017,5,Tammika Hubbard,Absent
77,10/20/2017,7,Jack Coatar,Absent
77,10/20/2017,14,Carol Howard,Absent
77,10/20/2017,15,Megan E. Green,Absent
77,10/20/2017,16,Tom Oldenburg,Absent
77,10/20/2017,17,Joseph D Roddy,Absent
77,10/20/2017,27,Pam Boyd,Absent
78,10/20/2017,1,Sharon Tyus,Aye
78,10/20/2017,3,Brandon Bosley,Aye
78,10/20/2017,4,Samuel L Moore,Aye
78,10/20/2017,6,Christine Ingrassia,Aye
78,10/20/2017,8,Stephen Conway,Aye
78,10/20/2017,9,Dan Guenther,Aye
78,10/20/2017,10,Joseph Vollmer,Aye
78,10/20/2017,11,Sarah Martin,Aye
78,10/20/2017,12,Larry Arnowitz,Aye
78,10/20/2017,13,Beth Murphy,Aye
78,10/20/2017,18,Terry Kennedy,Aye
78,10/20/2017,19,Marlene E Davis,Aye
78,10/20/2017,20,Cara Spencer,Aye
78,10/20/2017,21,John Collins-Muhammad,Aye
78,10/20/2017,22,Jeffrey L Boyd,Aye
78,10/20/2017,23,Joseph Vaccaro,Aye
78,10/20/2017,24,Scott Ogilvie,Aye
78,10/20/2017,25,Shane Cohn,Aye
78,10/20/2017,26,Frank Williamson,Aye
78,10/20/2017,28,Heather Navarro,Aye
78,10/20/2017,President,Lewis E Reed,Aye
78,10/20/2017,2,Dionne Flowers,Absent
78,10/20/2017,5,Tammika Hubbard,Absent
78,10/20/2017,7,Jack Coatar,Absent
78,10/20/2017,14,Carol Howard,Absent
78,10/20/2017,15,Megan E. Green,Absent
78,10/20/2017,16,Tom Oldenburg,Absent
78,10/20/2017,17,Joseph D Roddy,Absent
78,10/20/2017,27,Pam Boyd,Absent
79,10/20/2017,1,Sharon Tyus,Aye
79,10/20/2017,3,Brandon Bosley,Aye
79,10/20/2017,4,Samuel L Moore,Aye
79,10/20/2017,6,Christine Ingrassia,Aye
79,10/20/2017,8,Stephen Conway,Aye
79,10/20/2017,9,Dan Guenther,Aye
79,10/20/2017,10,Joseph Vollmer,Aye
79,10/20/2017,11,Sarah Martin,Aye
79,10/20/2017,12,Larry Arnowitz,Aye
79,10/20/2017,13,Beth Murphy,Aye
79,10/20/2017,18,Terry Kennedy,Aye
79,10/20/2017,19,Marlene E Davis,Aye
79,10/20/2017,20,Cara Spencer,Aye
79,10/20/2017,21,John Collins-Muhammad,Aye
79,10/20/2017,22,Jeffrey L Boyd,Aye
79,10/20/2017,23,Joseph Vaccaro,Aye
79,10/20/2017,24,Scott Ogilvie,Aye
79,10/20/2017,25,Shane Cohn,Aye
79,10/20/2017,26,Frank Williamson,Aye
79,10/20/2017,28,Heather Navarro,Aye
79,10/20/2017,President,Lewis E Reed,Aye
79,10/20/2017,2,Dionne Flowers,Absent
79,10/20/2017,5,Tammika Hubbard,Absent
79,10/20/2017,7,Jack Coatar,Absent
79,10/20/2017,14,Carol Howard,Absent
79,10/20/2017,15,Megan E. Green,Absent
79,10/20/2017,16,Tom Oldenburg,Absent
79,10/20/2017,17,Joseph D Roddy,Absent
79,10/20/2017,27,Pam Boyd,Absent
87,10/20/2017,1,Sharon Tyus,Aye
87,10/20/2017,3,Brandon Bosley,Aye
87,10/20/2017,4,Samuel L Moore,Aye
87,10/20/2017,6,Christine Ingrassia,Aye
87,10/20/2017,8,Stephen Conway,Aye
87,10/20/2017,9,Dan Guenther,Aye
87,10/20/2017,10,Joseph Vollmer,Aye
87,10/20/2017,11,Sarah Martin,Aye
87,10/20/2017,12,Larry Arnowitz,Aye
87,10/20/2017,13,Beth Murphy,Aye
87,10/20/2017,18,Terry Kennedy,Aye
87,10/20/2017,19,Marlene E Davis,Aye
87,10/20/2017,20,Cara Spencer,Aye
87,10/20/2017,21,John Collins-Muhammad,Aye
87,10/20/2017,22,Jeffrey L Boyd,Aye
87,10/20/2017,23,Joseph Vaccaro,Aye
87,10/20/2017,24,Scott Ogilvie,Aye
87,10/20/2017,25,Shane Cohn,Aye
87,10/20/2017,26,Frank Williamson,Aye
87,10/20/2017,28,Heather Navarro,Aye
87,10/20/2017,President,Lewis E Reed,Aye
87,10/20/2017,2,Dionne Flowers,Absent
87,10/20/2017,5,Tammika Hubbard,Absent
87,10/20/2017,7,Jack Coatar,Absent
87,10/20/2017,14,Carol Howard,Absent
87,10/20/2017,15,Megan E. Green,Absent
87,10/20/2017,16,Tom Oldenburg,Absent
87,10/20/2017,17,Joseph D Roddy,Absent
87,10/20/2017,27,Pam Boyd,Absent
100,10/20/2017,1,Sharon Tyus,Aye
100,10/20/2017,3,Brandon Bosley,Aye
100,10/20/2017,4,Samuel L Moore,Aye
100,10/20/2017,6,Christine Ingrassia,Aye
100,10/20/2017,8,Stephen Conway,Aye
100,10/20/2017,9,Dan Guenther,Aye
100,10/20/2017,10,Joseph Vollmer,Aye
100,10/20/2017,11,Sarah Martin,Aye
100,10/20/2017,12,Larry Arnowitz,Aye
100,10/20/2017,13,Beth Murphy,Aye
100,10/20/2017,18,Terry Kennedy,Aye
100,10/20/2017,19,Marlene E Davis,Aye
100,10/20/2017,20,Cara Spencer,Aye
100,10/20/2017,21,John Collins-Muhammad,Aye
100,10/20/2017,22,Jeffrey L Boyd,Aye
100,10/20/2017,23,Joseph Vaccaro,Aye
100,10/20/2017,24,Scott Ogilvie,Aye
100,10/20/2017,25,Shane Cohn,Aye
100,10/20/2017,26,Frank Williamson,Aye
100,10/20/2017,28,Heather Navarro,Aye
100,10/20/2017,President,Lewis E Reed,Aye
100,10/20/2017,2,Dionne Flowers,Absent
100,10/20/2017,5,Tammika Hubbard,Absent
100,10/20/2017,7,Jack Coatar,Absent
100,10/20/2017,14,Carol Howard,Absent
100,10/20/2017,15,Megan E. Green,Absent
100,10/20/2017,16,Tom Oldenburg,Absent
100,10/20/2017,17,Joseph D Roddy,Absent
100,10/20/2017,27,Pam Boyd,Absent
116,10/20/2017,1,Sharon Tyus,Aye
116,10/20/2017,3,Brandon Bosley,Aye
116,10/20/2017,4,Samuel L Moore,Aye
116,10/20/2017,6,Christine Ingrassia,Aye
116,10/20/2017,8,Stephen Conway,Aye
116,10/20/2017,9,Dan Guenther,Aye
116,10/20/2017,10,Joseph Vollmer,Aye
116,10/20/2017,11,Sarah Martin,Aye
116,10/20/2017,12,Larry Arnowitz,Aye
116,10/20/2017,13,Beth Murphy,Aye
116,10/20/2017,18,Terry Kennedy,Aye
116,10/20/2017,19,Marlene E Davis,Aye
116,10/20/2017,20,Cara Spencer,Aye
116,10/20/2017,21,John Collins-Muhammad,Aye
116,10/20/2017,22,Jeffrey L Boyd,Aye
116,10/20/2017,23,Joseph Vaccaro,Aye
116,10/20/2017,24,Scott Ogilvie,Aye
116,10/20/2017,25,Shane Cohn,Aye
116,10/20/2017,26,Frank Williamson,Aye
116,10/20/2017,28,Heather Navarro,Aye
116,10/20/2017,President,Lewis E Reed,Aye
116,10/20/2017,2,Dionne Flowers,Absent
116,10/20/2017,5,Tammika Hubbard,Absent
116,10/20/2017,7,Jack Coatar,Absent
116,10/20/2017,14,Carol Howard,Absent
116,10/20/2017,15,Megan E. Green,Absent
116,10/20/2017,16,Tom Oldenburg,Absent
116,10/20/2017,17,Joseph D Roddy,Absent
116,10/20/2017,27,Pam Boyd,Absent
131,10/20/2017,1,Sharon Tyus,Aye
131,10/20/2017,3,Brandon Bosley,Aye
131,10/20/2017,4,Samuel L Moore,Aye
131,10/20/2017,6,Christine Ingrassia,Aye
131,10/20/2017,8,Stephen Conway,Aye
131,10/20/2017,9,Dan Guenther,Aye
131,10/20/2017,10,Joseph Vollmer,Aye
131,10/20/2017,11,Sarah Martin,Aye
131,10/20/2017,12,Larry Arnowitz,Aye
131,10/20/2017,13,Beth Murphy,Aye
131,10/20/2017,18,Terry Kennedy,Aye
131,10/20/2017,19,Marlene E Davis,Aye
131,10/20/2017,20,Cara Spencer,Aye
131,10/20/2017,21,John Collins-Muhammad,Aye
131,10/20/2017,22,Jeffrey L Boyd,Aye
131,10/20/2017,23,Joseph Vaccaro,Aye
131,10/20/2017,24,Scott Ogilvie,Aye
131,10/20/2017,25,Shane Cohn,Aye
131,10/20/2017,26,Frank Williamson,Aye
131,10/20/2017,28,Heather Navarro,Aye
131,10/20/2017,President,Lewis E Reed,Aye
131,10/20/2017,2,Dionne Flowers,Absent
131,10/20/2017,5,Tammika Hubbard,Absent
131,10/20/2017,7,Jack Coatar,Absent
131,10/20/2017,14,Carol Howard,Absent
131,10/20/2017,15,Megan E. Green,Absent
131,10/20/2017,16,Tom Oldenburg,Absent
131,10/20/2017,17,Joseph D Roddy,Absent
131,10/20/2017,27,Pam Boyd,Absent
133,10/20/2017,1,Sharon Tyus,Aye
133,10/20/2017,3,Brandon Bosley,Aye
133,10/20/2017,4,Samuel L Moore,Aye
133,10/20/2017,6,Christine Ingrassia,Aye
133,10/20/2017,8,Stephen Conway,Aye
133,10/20/2017,9,Dan Guenther,Aye
133,10/20/2017,10,Joseph Vollmer,Aye
133,10/20/2017,11,Sarah Martin,Aye
133,10/20/2017,12,Larry Arnowitz,Aye
133,10/20/2017,13,Beth Murphy,Aye
133,10/20/2017,18,Terry Kennedy,Aye
133,10/20/2017,19,Marlene E Davis,Aye
133,10/20/2017,20,Cara Spencer,Aye
133,10/20/2017,21,John Collins-Muhammad,Aye
133,10/20/2017,22,Jeffrey L Boyd,Aye
133,10/20/2017,23,Joseph Vaccaro,Aye
133,10/20/2017,24,Scott Ogilvie,Aye
133,10/20/2017,25,Shane Cohn,Aye
133,10/20/2017,26,Frank Williamson,Aye
133,10/20/2017,28,Heather Navarro,Aye
133,10/20/2017,President,Lewis E Reed,Aye
133,10/20/2017,2,Dionne Flowers,Absent
133,10/20/2017,5,Tammika Hubbard,Absent
133,10/20/2017,7,Jack Coatar,Absent
133,10/20/2017,14,Carol Howard,Absent
133,10/20/2017,15,Megan E. Green,Absent
133,10/20/2017,16,Tom Oldenburg,Absent
133,10/20/2017,17,Joseph D Roddy,Absent
133,10/20/2017,27,Pam Boyd,Absent
135,10/20/2017,1,Sharon Tyus,Aye
135,10/20/2017,3,Brandon Bosley,Aye
135,10/20/2017,4,Samuel L Moore,Aye
135,10/20/2017,6,Christine Ingrassia,Aye
135,10/20/2017,8,Stephen Conway,Aye
135,10/20/2017,9,Dan Guenther,Aye
135,10/20/2017,10,Joseph Vollmer,Aye
135,10/20/2017,11,Sarah Martin,Aye
135,10/20/2017,12,Larry Arnowitz,Aye
135,10/20/2017,13,Beth Murphy,Aye
135,10/20/2017,18,Terry Kennedy,Aye
135,10/20/2017,19,Marlene E Davis,Aye
135,10/20/2017,20,Cara Spencer,Aye
135,10/20/2017,21,John Collins-Muhammad,Aye
135,10/20/2017,22,Jeffrey L Boyd,Aye
135,10/20/2017,23,Joseph Vaccaro,Aye
135,10/20/2017,24,Scott Ogilvie,Aye
135,10/20/2017,25,Shane Cohn,Aye
135,10/20/2017,26,Frank Williamson,Aye
135,10/20/2017,28,Heather Navarro,Aye
135,10/20/2017,President,Lewis E Reed,Aye
135,10/20/2017,2,Dionne Flowers,Absent
135,10/20/2017,5,Tammika Hubbard,Absent
135,10/20/2017,7,Jack Coatar,Absent
135,10/20/2017,14,Carol Howard,Absent
135,10/20/2017,15,Megan E. Green,Absent
135,10/20/2017,16,Tom Oldenburg,Absent
135,10/20/2017,17,Joseph D Roddy,Absent
135,10/20/2017,27,Pam Boyd,Absent
136,10/20/2017,1,Sharon Tyus,Aye
136,10/20/2017,3,Brandon Bosley,Aye
136,10/20/2017,4,Samuel L Moore,Aye
136,10/20/2017,6,Christine Ingrassia,Aye
136,10/20/2017,8,Stephen Conway,Aye
136,10/20/2017,9,Dan Guenther,Aye
136,10/20/2017,10,Joseph Vollmer,Aye
136,10/20/2017,11,Sarah Martin,Aye
136,10/20/2017,12,Larry Arnowitz,Aye
136,10/20/2017,13,Beth Murphy,Aye
136,10/20/2017,18,Terry Kennedy,Aye
136,10/20/2017,19,Marlene E Davis,Aye
136,10/20/2017,20,Cara Spencer,Aye
136,10/20/2017,21,John Collins-Muhammad,Aye
136,10/20/2017,22,Jeffrey L Boyd,Aye
136,10/20/2017,23,Joseph Vaccaro,Aye
136,10/20/2017,24,Scott Ogilvie,Aye
136,10/20/2017,25,Shane Cohn,Aye
136,10/20/2017,26,Frank Williamson,Aye
136,10/20/2017,28,Heather Navarro,Aye
136,10/20/2017,President,Lewis E Reed,Aye
136,10/20/2017,2,Dionne Flowers,Absent
136,10/20/2017,5,Tammika Hubbard,Absent
136,10/20/2017,7,Jack Coatar,Absent
136,10/20/2017,14,Carol Howard,Absent
136,10/20/2017,15,Megan E. Green,Absent
136,10/20/2017,16,Tom Oldenburg,Absent
136,10/20/2017,17,Joseph D Roddy,Absent
136,10/20/2017,27,Pam Boyd,Absent
139,10/20/2017,1,Sharon Tyus,Aye
139,10/20/2017,3,Brandon Bosley,Aye
139,10/20/2017,4,Samuel L Moore,Aye
139,10/20/2017,6,Christine Ingrassia,Aye
139,10/20/2017,8,Stephen Conway,Aye
139,10/20/2017,9,Dan Guenther,Aye
139,10/20/2017,10,Joseph Vollmer,Aye
139,10/20/2017,11,Sarah Martin,Aye
139,10/20/2017,12,Larry Arnowitz,Aye
139,10/20/2017,13,Beth Murphy,Aye
139,10/20/2017,18,Terry Kennedy,Aye
139,10/20/2017,19,Marlene E Davis,Aye
139,10/20/2017,20,Cara Spencer,Aye
139,10/20/2017,21,John Collins-Muhammad,Aye
139,10/20/2017,22,Jeffrey L Boyd,Aye
139,10/20/2017,23,Joseph Vaccaro,Aye
139,10/20/2017,24,Scott Ogilvie,Aye
139,10/20/2017,25,Shane Cohn,Aye
139,10/20/2017,26,Frank Williamson,Aye
139,10/20/2017,28,Heather Navarro,Aye
139,10/20/2017,President,Lewis E Reed,Aye
139,10/20/2017,2,Dionne Flowers,Absent
139,10/20/2017,5,Tammika Hubbard,Absent
139,10/20/2017,7,Jack Coatar,Absent
139,10/20/2017,14,Carol Howard,Absent
139,10/20/2017,15,Megan E. Green,Absent
139,10/20/2017,16,Tom Oldenburg,Absent
139,10/20/2017,17,Joseph D Roddy,Absent
139,10/20/2017,27,Pam Boyd,Absent
122,10/20/2017,1,Sharon Tyus,Aye
122,10/20/2017,3,Brandon Bosley,Aye
122,10/20/2017,4,Samuel L Moore,Aye
122,10/20/2017,6,Christine Ingrassia,Aye
122,10/20/2017,8,Stephen Conway,Aye
122,10/20/2017,9,Dan Guenther,Aye
122,10/20/2017,10,Joseph Vollmer,Aye
122,10/20/2017,11,Sarah Martin,Aye
122,10/20/2017,12,Larry Arnowitz,Aye
122,10/20/2017,13,Beth Murphy,Aye
122,10/20/2017,18,Terry Kennedy,Aye
122,10/20/2017,19,Marlene E Davis,Aye
122,10/20/2017,20,Cara Spencer,Aye
122,10/20/2017,21,John Collins-Muhammad,Aye
122,10/20/2017,22,Jeffrey L Boyd,Aye
122,10/20/2017,23,Joseph Vaccaro,Aye
122,10/20/2017,24,Scott Ogilvie,Aye
122,10/20/2017,25,Shane Cohn,Aye
122,10/20/2017,26,Frank Williamson,Aye
122,10/20/2017,28,Heather Navarro,Aye
122,10/20/2017,President,Lewis E Reed,Aye
122,10/20/2017,2,Dionne Flowers,Absent
122,10/20/2017,5,Tammika Hubbard,Absent
122,10/20/2017,7,Jack Coatar,Absent
122,10/20/2017,14,Carol Howard,Absent
122,10/20/2017,15,Megan E. Green,Absent
122,10/20/2017,16,Tom Oldenburg,Absent
122,10/20/2017,17,Joseph D Roddy,Absent
122,10/20/2017,27,Pam Boyd,Absent
95,10/06/2017,1,Sharon Tyus,Aye
95,10/06/2017,3,Brandon Bosley,Aye
95,10/06/2017,4,Samuel L Moore,Aye
95,10/06/2017,5,Tammika Hubbard,Aye
95,10/06/2017,7,Jack Coatar,Aye
95,10/06/2017,8,Stephen Conway,Aye
95,10/06/2017,9,Dan Guenther,Aye
95,10/06/2017,10,Joseph Vollmer,Aye
95,10/06/2017,11,Sarah Martin,Aye
95,10/06/2017,12,Larry Arnowitz,Aye
95,10/06/2017,13,Beth Murphy,Aye
95,10/06/2017,14,Carol Howard,Aye
95,10/06/2017,15,Megan E. Green,Aye
95,10/06/2017,16,Tom Oldenburg,Aye
95,10/06/2017,17,Joseph D Roddy,Aye
95,10/06/2017,18,Terry Kennedy,Aye
95,10/06/2017,19,Marlene E Davis,Aye
95,10/06/2017,20,Cara Spencer,Aye
95,10/06/2017,21,John Collins-Muhammad,Aye
95,10/06/2017,22,Jeffrey L Boyd,Aye
95,10/06/2017,23,Joseph Vaccaro,Aye
95,10/06/2017,24,Scott Ogilvie,Aye
95,10/06/2017,25,Shane Cohn,Aye
95,10/06/2017,26,Frank Williamson,Aye
95,10/06/2017,27,Pam Boyd,Aye
95,10/06/2017,28,Heather Navarro,Aye
95,10/06/2017,President,Lewis E Reed,Aye
95,10/06/2017,6,Christine Ingrassia,Absent
95,10/06/2017,2,Seat is vacant,Vacant Seat
102,10/06/2017,1,Sharon Tyus,Aye
102,10/06/2017,3,Brandon Bosley,Aye
102,10/06/2017,4,Samuel L Moore,Aye
102,10/06/2017,5,Tammika Hubbard,Aye
102,10/06/2017,7,Jack Coatar,Aye
102,10/06/2017,8,Stephen Conway,Aye
102,10/06/2017,9,Dan Guenther,Aye
102,10/06/2017,10,Joseph Vollmer,Aye
102,10/06/2017,11,Sarah Martin,Aye
102,10/06/2017,12,Larry Arnowitz,Aye
102,10/06/2017,13,Beth Murphy,Aye
102,10/06/2017,14,Carol Howard,Aye
102,10/06/2017,15,Megan E. Green,Aye
102,10/06/2017,16,Tom Oldenburg,Aye
102,10/06/2017,17,Joseph D Roddy,Aye
102,10/06/2017,18,Terry Kennedy,Aye
102,10/06/2017,19,Marlene E Davis,Aye
102,10/06/2017,20,Cara Spencer,Aye
102,10/06/2017,21,John Collins-Muhammad,Aye
102,10/06/2017,22,Jeffrey L Boyd,Aye
102,10/06/2017,23,Joseph Vaccaro,Aye
